#English multiwords file used for EnglishHybridDisambiguator
# Use this file only for multi-word terms that have these properties: 1) disambiguation is not necessary. 2) the term has only one part of speech (NOT sotto voce, which is RB and JJ).
# Do not add the term to spelling.txt, because spelling is ignored automatically for each term in this file.
# Terms are case-sensitive, but for each term, POS is added and spelling is ignored for (1) all uppercase text and (2) for text that has a capital letter for the first character of the first word.
All Saints Sisters of the Poor	NNP # www.allsaintssistersofthepoor.org.uk
Ferenc Puskás	NNP
Anton Piëch	NNP
Sean Combs	NNP
Szymon Marciniak	NNP
Croix County	NNP
H.P. Lovecraft	NNP
H. P. Lovecraft	NNP
S.S.C. Napoli	NNP
Juventus F.C.	NNP
force majeure	NN
force majeures	NNS
Wladimir Klitschko	NNP
Ange Postecoglou	NNP
Vision Pro	NNP
Arlo Parks	NNP
Reality Composer	NNP
Reality Composer Pro	NNP
Fraunhofer SIT	NNP
Los Feliz	NNP
Pacific Coast Highway	NNP
César Chávez	NNP
Hassanal Bolkiah	NNP
Howard Hughes	NNP
Hanwha Group	NNP
Hanwha Corporation	NNP
Elbridge A. Colby	NNP
Elbridge Colby	NNP
William Egan Colby	NNP
William Colby	NNP
Sam Levinson	NNP
Shell V-Power	NNP
Saint Louis Sucre	NNP
Fulham F.C.	NNP
Apple Inc.	NNP
Union Pacific Corp.	NNP
Elbridge A. Colby	NNP
George H. W. Bush	NNP
J.D. Salinger	NNP
J. D. Salinger	NNP
J.J. Thomson	NNP
J. J. Thomson	NNP
Arthur C. Clarke	NNP
Chelsea F.C.	NNP
Arsenal F.C.	NNP
Liverpool F.C.	NNP
Baotou Steel	NNP
Peter Altmaier	NNP
Android Auto	NNP
La Chaux-de-Fonds	NNP
Alexander Donski	NNP
Lionel Souque	NNP
Robert Kennedy	NNP
Robert F. Kennedy	NNP
William E. Colby	NNP
G.K. Chesterton	NNP
G. K. Chesterton	NNP
Harry S. Truman	NNP
Consolidated Edison	NNP
Tan Hock Eng	NNP
Hock Tan	NNP
Jack Grealish	NNP
Accona desert	NNP
Menlo Ventures	NNP
Lanford Wilson	NNP
Naby Keïta	NNP
Boca Burger	NNP
Grey Poupon	NNP
Realty Income	NNP
Digital Realty	NNP
Digital Realty Trust	NNP
DWS Group	NNP
Air Liquide	NNP
Hermann Graßmann	NNP
Phil Foden	NNP
Dan Waldschmidt	NNP
Geert Wilders	NNP
Pulau Ubin	NNP
Oleksii Reznikov	NNP
Inter Miami	NNP
Inter Miami CF	NNP
Fiat Fullback	NNP
RasenBallsport Leipzig	NNP
RB Leipzig	NNP
Jamal Murray	NNP
Cormac McCarthy	NNP
Ted Kaczynski	NNP
Thomas Pynchon	NNP
Don DeLillo	NNP
David Foster Wallace	NNP
Foster Wallace	NNP
Francis Crick	NNP
Rachel Carson	NNP
Gregor Mendel	NNP
John Kornblum	NNP
John C. Kornblum	NNP
Tommy Bahama	NNP
CUPRA Born	NNP
Cupra Born	NNP
CUPRA Leon	NNP
Cupra Leon	NNP
CUPRA Formentor	NNP
Cupra Formentor	NNP
Declan Rice	NNP
Frasers Group	NNP
Pratt & Whitney	NNP
Angelique Kerber	NNP
John Hollins	NNP
Margarita Robles	NNP
John C. Bogle	NNP
John Bogle	NNP
Jack Bogle	NNP
Joachim von Ribbentrop	NNP
Francis X. Suarez	NNP
Francis Suarez	NNP
Leonard Bosack	NNP
Sandy Lerner	NNP
Bukit Asam	NNP
United Tractors	NNP
Paul Vieille	NNP
Lily-Rose Depp	NNP
Lily-Rose Melody Depp	NNP
James Dewar	NNP
Geoffrey K. Pullum	NNP
Geoffrey Pullum	NNP
Geoffrey Keith Pullum	NNP
Daniel Ellsberg	NNP
Gregg Berhalter	NNP
Robert Falcon Scott	NNP
Falcon Scott	NNP
Robert F. Scott	NNP
Erich Honecker	NNP
Egon Krenz	NNP
Ken Loach	NNP
Herbert Quandt	NNP
Carrefour Banque	NNP
Mikhail Khodorkovsky	NNP
Hamish Harding	NNP
Meyer Werft	NNP
Li Ka-shing	NNP
Ernest Bourget	NNP
Henri Cartier-Bresson	NNP
Port Hedland	NNP
Napo River	NNP
Coca River	NNP
Corrado Passera	NNP
Fnac Darty	NNP
Alain Delon	NNP
Alica Schmidt	NNP
Abel Tesfaye	NNP
Sinopharm Group	NNP
Banca Sistema	NNP
Houston Public Media	NNP
Puy de Dôme	NNP
Itaú BBA	NNP
Brunello Cucinelli	NNP
Paul Mashatile	NNP
Xavi Simons	NNP
Wallis Simpson	NNP
Wallis Warfield	NNP
Peter Madsen	NNP
Jane Birkin	NNP
Bernardo Silva	NNP
Rive Gauche	NNP
Mercado Libre	NNP
Ashoka Mody	NNP
Cyril Ramaphosa	NNP
Amin H. Nasser	NNP
Amin Nasser	NNP
Amin Hassan Naser	NNP
Julius Malema	NNP
Tshepo Motsepe	NNP
Ace Magashule	NNP
Fikile Mbalula	NNP
Gabor Steingart	NNP
Bert Rürup	NNP
Walter Riester	NNP
Franklin Templeton	NNP
Franklin Resources	NNP
Roelf Meyer	NNP
Atlas Copco	NNP
Microsoft Corp	NNP
UnitedHealth Group	NNP
Oracle Corp	NNP
McDonalds Corp	NNP
Moët & Chandon	NNP
Moët et Chandon	NNP
Tokyo Electron	NNP
Abbott Laboratories	NNP
Abbott Labs	NNP
D. R. Horton	NNP
D.R. Horton	NNP
Dominick Napolitano	NNP
Sonny Black	NNP
Glenn Research Center	NNP
William Somerset Maugham	NNP
W. Somerset Maugham	NNP
William Maugham	NNP
Somerset Maugham	NNP
Vivek Ramaswamy	NNP
Vivek Ganapathy Ramaswamy	NNP
Vivek G. Ramaswamy	NNP
John Frieda	NNP
Williams Sonoma	NNP
Jason Aldean	NNP
Isabel Perón	NNP
Isabel Martínez de Perón	NNP
José López Rega	NNP
Jorge Rafael Videla	NNP
Rafael Videla	NNP
Jorge Videla	NNP
Alberto Núñez Feijóo	NNP
Núñez Feijóo	NNP
Enrico Fermi	NNP
Paul Dirac	NNP
Otto Hahn	NNP
Leó Szilárd	NNP
Ettore Majorana	NNP
Dalian Wanda	NNP
Piper Sandler	NNP
malum in se	_multiword_
mala in se	_multiword_
Posh Spice	NNP
MCI WorldCom	NNP
Fani Willis	NNP
Javier Milei	NNP
Joe Lewis	NNP
Pan Gongsheng	NNP
Sam Kerr	NNP
Alexia Putellas	NNP
Ada Hegerberg	NNP
Megan Rapinoe	NNP
Lucy Bronze	NNP
Sarina Wiegman	NNP
Keira Walsh	NNP
Millie Bright	NNP
Beth Mead	NNP
Lauren James	NNP
Alexandra Popp	NNP
Aitana Bonmati	NNP
Jennifer Hermoso Fuentes	NNP
Jennifer Fuentes	NNP
Alba Redondo	NNP
Hinata Miyazawa	NNP
Kadidiatou Diani	NNP
Ariadina Alves Borges	NNP
Ariadina Borges	NNP
Ary Borges	NNP
Sophie Haug	NNP
Lauren Hemp	NNP
Alessia Russo	NNP
Mary Earps	NNP
Mackenzie Arnold	NNP
Vestas Wind	NNP
Vestas Wind Systems	NNP
Stuart Weitzman	NNP
Capri Holdings	NNP
Jimmy Choo	NNP
Hyperemesis gravidarum	NN:U
hyperemesis gravidarum	NN:U
Luis Rubiales	NNP
Jorge Vilda	NNP
Olga Carmona	NNP
Maccabi Tel Aviv	NNP
Daniel Peretz	NNP
J. M. Coetzee	NNP
J.M. Coetzee	NNP
U.S. Food and Drug Administration	NNP
GoCardless Ltd.	NNP
Croix County	NNP
J. R. R. Tolkien	NNP
J.R.R. Tolkien	NNP
C.S. Lewis	NNP
C. S. Lewis	NNP
Guggenheim Securities	NNP
Alice Weidel	NNP
Tino Chrupalla	NNP
smart aleck	NN
smart alecks	NNS
Porsche Targa	NNP
911 Targa	NNP
Martha MacCallum	NNP
Bret Baier	NNP
EQT Partners	NNP
Thoma Bravo	NNP
Bain Capital	NNP
Digital Services Act	NNP
Wayback Machine	NNP
Yolyn Am	NNP
Hin Wong Bay	NNP
Hin Wong Beach	NNP
Terry Gou	NNP
Armel Bella-Kotchap	NNP
Thilo Kehrer	NNP
Roméo Lavia	NNP
Ao Hin Wong	NNP
Rodman's Neck	NNP
Rodman’s Neck	NNP
Glenn Quagmire	NNP
Gérald Darmanin	NNP
Aguas fresca	NNP
Aguas frescas	NNPS
Mark Thompson	NNP
Jennifer Grey	NNP
Patrick Swayze	NNP
Geoff Duncan	NNP
Gabriel Attal	NNP
Takeshi's Castle	NNP
Takeshi’s Castle	NNP
Bianca Censori	NNP
NewView Capital	NNP
Embry-Riddle Aeronautical University	NNP
Embry-Riddle University	NNP
Sarah Jessica Parker	NNP
Carrie Bradshaw	NNP
Petyr Baelish	NNP
George R. R. Martin	NNP
Mountain Dew	NNP
Mtn Dew	NNP
GSV Ventures	NNP
INEOS Group	NNP
Royal Brompton	NNP
Frost & Sullivan	NNP
Novo Holdings	NNP
Plainsboro Township	NNP
Jennifer Love Hewitt	NNP
Siemens Mobility	NNP
Assa Abloy	NNP
Hugo Ekitiké	NNP
Marco Asensio	NNP
Gonçalo Ramos	NNP
Luka Jović	NNP
Peter Dodds	NNP
Oak Brook	NNP
Cornel West	NNP
Black Rock City	NNP
Reno Gazette Journal	NNP
Reno Gazette	NNP
Lars Mapstead	NNP
Levski Sofia	NNP
James A. Garfield	NNP
Ulysses S. Grant	NNP
St. Croix County	NNP
Reader's Digest	NNP
Reader’s Digest	NNP
Hector Barbossa	NNP
Penguin Random House	NNP
Coco Gauff	NNP
Hauck Aufhäuser Lampe	NNP
Linda Evangelista	NNP
Star Bharat	NNP
STAR Bharat	NNP
Wood Mackenzie	NNP
Saudi Telecom	NNP
Fiat Scudo	NNP
Citroën Jumpy	NNP
Citroën C3	NNP
Citroën C4	NNP
NextEra Energy	NNP
Becton Dickinson	NNP
Alex Gerko	NNP
Froot Loop	NNP
Froot Loops	NNP
Pearl S. Buck	NNP
Andreas Obst	NNP
Paolo Banchero	NNP
Gordon Herbert	NNP
Niels Giffey	NNP
Johannes Voigtmann	NNP
Daniel Theis	NNP
Johannes Thiemann	NNP
Tibor Pleiß	NNP
Bobby Portis	NNP
Franz Wagner	NNP
Robin Benzing	NNP
Svetislav Pešić	NNP
Stefan Jović	NNP
Bogdan Bogdanović	NNP
Vladimir Kara-Murza	NNP
Walter Isaacson	NNP
Aaron Sorkin	NNP
Paolo Gentiloni	NNP
Kemi Badenoch	NNP
Richard Sackler	NNP
Arthur Sackler	NNP
Barratt Developments	NNP
Bastei Lübbe	NNP
Purdue Pharma	NNP
BNY Mellon	NNP
Affinity Publisher	NNP
Tommy Trojan	NNP
Bernard Looney	NNP
Loro Piana	NNP
Donna Karan	NNP
Erin Meyer	NNP
Schott Pharma	NNP
Victor Boniface	NNP
Cem Özdemir	NNP
Russell Brand	NNP
Hans-Dieter Flick	NNP
Julian Nagelsmann	NNP
James Coburn	NNP
Fritz Machlup	NNP
Friedrich Lewy	NNP
Charter Communications	NNP
Engelbert Strauss	NNP
Jeffrey B. Straubel	NNP
Jeffrey Brian Straubel	NNP
Jeffrey Straubel	NNP
JB Straubel	NNP
J. B. Straubel	NNP
Martin Eberhard	NNP
Sandro Wagner	NNP
Peter Falk	NNP
Karl Menger	NNP
Carl Menger	NNP
Hans Hahn	NNP
Oskar Morgenstern	NNP
Friedrich Hayek	NNP
Wacker Neuson	NNP
Wacker Burghausen	NNP
Thomas Shelby	NNP
Jennifer Morgan	NNP
Li Auto	NNP
Lufthansa Technik	NNP
Columb Minor	NNP
Columb Major	NNP
Marc Overmars	NNP
St. Columba	NNP
St Columba	NNP
Saint Columba	NNP
Round Rock ISD	NNP
Union Berlin	NNP
FC Union Berlin	NNP
Leonardo Bonucci	NNP
Robin Gosens	NNP
Brenden Aaronson	NNP
Sheraldo Becker	NNP
David Datro Fofana	NNP
Kevin Volland	NNP
Pauline Newman	NNP
Juicy J	NNP
Bangko Sentral	NNP
Bangko Sentral ng Pilipinas	NNP
Banco de Oro	NNP
Debbie Rowe	NNP
Paris Jackson	NNP
Prince Jackson	NNP
Pte Ltd	_multiword_
Pte. Ltd.	_multiword_
Robert V. Remini	NNP
Robert Remini	NNP
Irven M. Resnick	NNP
Irven Resnick	NNP
Lachlan Murdoch	NNP
Rupert Murdoch	NNP
Alphonso Davies	NNP
Mathys Tel	NNP
Eli Crane	NNP
Dan Bishop	NNP
Matt Rosendale	NNP
Gerald Holtom	NNP
Sven Ulreich	NNP
Serhou Guirassy	NNP
Granit Xhaka	NNP
Valdis Dombrovskis	NNP
Anders Åslund	NNP
Fiat 600	NNP
Fiat 600e	NNP
Jaguar F-PACE	NNP
Jaguar F-Pace	NNP
Meta Platforms	NNP
thank yous	NNS
Travis Kelce	NNP
Bob Menendez	NNP
Travis Kelce	NNP
Bob Menendez	NNP
Marta Ortega	NNP
Okeh Records	NNP
Paramount Records	NNP
Crown Court	NNP
Charles M. Schulz	NNP
Mehmet Ali Ağca	NNP
Stena Line	NNP
Laphonza Butler	NNP
Robert Fico	NNP
Keefe D	NNP
Duane Davis	NNP
Mette-Marit Tjessem Høiby	NNP
Katalin Karikó	NNP
Drew Weissman	NNP
in vivo	_multiword_
Ferenc Krausz	NNP
Pierre Agostini	NNP
Anne L’Huillier	NNP
Anne L'Huillier	NNP
Kais Saied	NNP
Nabil Karoui	NNP
Lyca Mobile	NNP
Diamondback Energy	NNP
Rory McIlroy	NNP
Jon Fosse	NNP
Monumenta Germaniae Historica	NNP
Ural Airlines	NNP
Metro Bank	NNP
Iron Dome	NNP
Pastel de nata	NNP
Permian Basin	NNP
Redcare Pharmacy	NNP
Marfa Basin	NNP
Schwarz Group	NNP
Klaus Holzkamp	NNP
Steve Scalise	NNP
Raphael Bostic	NNP
Yoav Gallant	NNP
Milli Vanilli	NNP
Kelvin Kiptum	NNP
Leon Draisaitl	NNP
Ben Gurion Airport	NNP
Narges Mohammadi	NNP
East Hartford	NNP
Ali Ağca	NNP
Andreas Lubitz	NNP
Ora Funky Cat	NNP
Avion Express	NNP
Amazon QuickSight	NNP
mumbo jumbo	NN
Étienne-Gaspard Robert	NNP
Eugen von Böhm-Bawerk	NNP
von Böhm-Bawerk	NNP
Eugen Ritter von Böhm-Bawerk	NNP
Gaston de Chasseloup-Laubat	NNP
Dino Polska	NNP
Saint Helier	NNP
Nuku'alofa	NNP
Charlotte Amalie	NNP
Mata Utu	NNP
Nay Pyi Taw	NNP
Historia Brittonum	NNP
Chilcotin Country	NNP
Para-Commando Brigade	NNP
École Polytechnique	NNP
École polytechnique	NNP
Intesa Sanpaolo	NNP
Xavier Bettel	NNP
Al Shifa	NNP
Oleksandr Usyk	NNP
Clooney Foundation for Justice	NNP
Omar Sy	NNP
Kareem Jackson	NNP
Las Cruces	NNP
George Mallory	NNP
Peter Hillary	NNP
Andrew Irvine	NNP
Reinhold Messner	NNP
Tom Bourdillon	NNP
George Lowe	NNP
Charles Evans	NNP
Dominique Strauss-Kahn	NNP
Shawn Fain	NNP
Ehud Olmert	NNP
Jim McGovern	NNP
Loïs Openda	NNP
Chandler Bing	NNP
John J. Pershing	NNP
John Pershing	NNP
Shani Louk	NNP
Nicolaus Zinzendorf	NNP
David Bebbington	NNP
David W. Bebbington	NNP
Isaac Herzog	NNP
Abba Eban	NNP
Shawn Carter	NNP
Leo Varadkar	NNP
M2 Bradley	NNP
M1 Abrams	NNP
Premiere Pro	NNP
Horst Hrubesch	NNP
David Ben-Gurion	NNP
Golda Meir	NNP
Aitana Bonmatí	NNP
Adobe Express	NNP
550 Spyder	NNP
Porsche Spyder	NNP
Wendelin Wiedeking	NNP
Key Largo	NNP
David Chipperfield	NNP
Neues Museum	NNP
One Pancras Square	NNP
Haus der Kunst	NNP
beaux arts	JJ
Cass Gilbert	NNP
Colección Jumex	NNP
Santiago Calatrava	NNP
John Soane	NNP
Cersei Lannister	NNP
Jaime Lannister	NNP
Tywin Lannister	NNP
Arnaud Montebourg	NNP
Yuba City	NNP
Sanwa Bank	NNP
Huntington Ingalls	NNP
Huntington Ingalls Industries	NNP
Yao Ming	NNP
Quack Pack	NNP
Liberty Broadband	NNP
Cape Arkona	NNP
Arthur F. Engoron	NNP
Arthur Engoron	NNP
Mülheim an der Ruhr	NNP
Bad Homburg v. d. Höhe	NNP
Bad Homburg vor der Höhe	NNP
Freiburg im Breisgau	NNP
Esslingen am Neckar	NNP
Neustadt an der Weinstraße	NNP
Rüsselsheim am Main	NNP
La Brea	NNP
La Pineda	NNP
Mount Saint Helens	NNP
Mount St. Helens	NNP
Pineda de Mar	NNP
Punta Cana	NNP
Auld Lang Syne	NNP
Feliz Navidad	_multiword_
Kaiser Permanente	NNP
Gary Barlow	NNP
Mark Owen	NNP
Young Sheldon	NNP
Signal Iduna	NNP
Rey Mysterio	NNP
Robert Bayley Osgood	NNP
Bayley Osgood	NNP
Carl Schlatter	NNP
Julian Ryerson	NNP
Jane Fraser	NNP
Ten Hag	NNP
Jadon Sancho	NNP
Día del Amor y la Amistad	NNP
Día de Andalucía	NNP
Día de Asturias	NNP
Día de la Armada de México	NNP
Día de la Bandera	NNP
Día de Canarias	NNP
Día de la Candelaria	NNP
Día de Castilla-La Mancha	NNP
Día de Ceuta	NNP
Día de la Comunitat Valenciana	NNP
Día de la Constitución	NNP
Día de la Constitución Española	NNP
Día del Ejército	NNP
Día del Estudiante	NNP
Día de Extremadura	NNP
Día de la Independencia	NNP
Día de las Instituciones de Cantabria	NNP
Día Internacional de la Mujer	NNP
Día de las Islas Baleares	NNP
Día del Justicia de Aragón	NNP
Día de las Letras Gallegas	NNP
Día de las Madres	NNP
Día del Maestro	NNP
Día de la Marina	NNP
Día de Melilla	NNP
Día de Muertos	NNP
Día de los Muertos	NNP
Día del Niño	NNP
Día de los Niños Héroes	NNP
Día del Padre	NNP
Día de la Raza	NNP
Día de la Región de Murcia	NNP
Día de la Revolución	NNP
Día de los Reyes Magos	NNP
Día de La Rioja	NNP
Día de los Santos Inocentes	NNP
Día de Todos los Santos	NNP
Día de todos los Santos	NNP
Día del Trabajador	NNP
Día del Trabajo	NNP
Día de la Virgen de Guadalupe	NNP
Jueves Santo	NNP
Sant Esteve	NNP
Viernes Santo	NNP
Bosch Ventures	NNP
Burda Principal	NNP
Burda Verlag	NNP
Bruce Flatt	NNP
Signal Iduna Park	NNP
Emerson Electric	NNP
Marvel Fusion	NNP
Siemens Healthineers	NNP
Siemens Gamesa	NNP
Siemens AG	NNP
Harlan Coben	NNP
Dillon Brooks	NNP
James Harden	NNP
Eras Tour	NNP
Sigara böreği	NNP
A$AP Ferg	NNP
Baby Keem	NNP
Ja Rule	NNP
HP Inc	NNP
Enel SpA	NNP
Coterra Energy	NNP
Jinko Solar	NNP
3i Group	NNP
Ontario Hydro	NNP
Hydro One	NNP
Grande Comore	NNP
Gezira Island	NNP
Sabrina Singh	NNP
Tina Fey	NNP
Lisa Su	NNP
Jens Söring	NNP
Ronna McDaniel	NNP
Lester Holt	NNP
Lincoln Nautilus	NNP
Nissan TITAN	NNP
Subaru Solterra	NNP
Killah Priest	NNP
Ryan Blaney	NNP
Michelle Hunziger	NNP
Trentino-Alto Adige	NNP
William Ruto	NNP
Herbert Kickl	NNP
Suella Braverman	NNP
Bedford County	NNP
Rocky Horror Picture Show	NNP
myasthenia gravis	NN:U
Daiichi Sankyo	NNP
Merck KGaA	NNP
Tele Columbus	NNP
Álex Grimaldo	NNP
Las Vegas Sands	NNP
Hermann Zapf	NNP
Brie Larson	NNP
Metonic cycle	NN
Metonic cycles	NNS
Cortex XDR	NNP
Dubai Airshow	NNP
Amazon eero	NNP
Hon Hai	NNP
Hon Hai Precision Industry	NNP
Día de San José	NNP
Día de los Santos	NNP
Día Nacional de la Memoria por la Verdad y la Justicia	NNP
Día del Respeto a la Diversidad Cultural	NNP
Día de la Soberanía Nacional	NNP
Día del Perdón	NNP
Lundi de Pâques	NNP
Fête du Travail	NNP
Lundi de Pentecôte	NNP
Dia do Trabalhador	NNP
Dia do Trabalho	NNP
Dia da Independência	NNP
Dia da Liberdade	NNP
Dia da Região Autónoma dos Açores	NNP
Dia da Pombinha	NNP
Dia do Bodo	NNP
Dia de Portugal	NNP
Dia da Região Autónoma da Madeira	NNP
Dia de Todos-os-Santos	NNP
Dia do Concelho	NNP
Dia de São José	NNP
Dia de São Jorge	NNP
Dia de Santo António	NNP
Dia de São João	NNP
Dia de São Pedro	NNP
Dia de Santa Isabel	NNP
Dia da Cidade do Funchal	NNP
Dia de São Mateus	NNP
Antonín Dvořák	NNP
Emma Hayes	NNP
Sociedad Química	NNP
Sociedad Química y Minera	NNP
Sociedad Química y Minera de Chile	NNP
Merthyr Tydfil	NNP
George Peppard	NNP
Tibesti Mountains	NNPS
Michael Witbrock	NNP
George Church	NNP
Peter Diamandis	NNP
Nick Bostrom	NNP
Kevin Leyton-Brown	NNP
Rumelia Eyalet	NNP
Tori Spelling	NNP
Albertus Magnus	NNP
Alderson Broaddus	NNP
Austin Peay	NNP
Bacone College	NNP
Bellin College	NNP
Berea College	NNP
Berklee College of Music	NNP
Biola University	NNP
Boricua College	NNP
Brazosport College	NNP
Brenau University	NNP
Bryn Athyn	NNP
Bryn Mawr	NNP
San Luis Obispo	NNP
Carlos Albizu	NNP
Carlow University	NNP
Chowan University	NNP
Claflin University	NNP
Medgar Evers	NNP
Medgar Wiley Evers	NNP
Daemen College	NNP
Dalhousie University	NNP
DePauw University	NNP
DeSales University	NNP
DeVry University	NNP
Dordt College	NNP
East Stroudsburg	NNP
Edinboro University of Pennsylvania	NNP
Evangel University	NNP
Fairleigh Dickinson	NNP
Felician College	NNP
Ferrum College	NNP
Harvey Mudd	NNP
Husson University	NNP
Keiser University	NNP
La Salle	NNP
Le Moyne	NNP
LeTourneau University	NNP
Loras College	NNP
Medaille College	NNP
Menlo College	NNP
Midstate College	NNP
Millsaps College	NNP
Misericordia University	NNP
Montreat College	NNP
Naropa University	NNP
Olivet College	NNP
Olivet Nazarene University	NNP
Patten University	NNP
Peirce College	NNP
Behrend College	NNP
Penn State Behrend	NNP
Pittsburg State University	NNP
Pitzer College	NNP
Pontifical College Josephinum	NNP
Principia College	NNP
Ranken Technical College	NNP
Rivier University	NNP
Samford University	NNP
Shimer College	NNP
Sinte Gleska	NNP
Soka Gakkai	NNP
Sul Ross	NNP
New Paltz	NNP
Trevecca Nazarene University	NNP
Trine University	NNP
Walla Walla	NNP
Wingate University	NNP
La Salle	NNP
David DePape	NNP
Rob Lowe	NNP
Wilfrid Laurier	NNP
Iwo Jima	NNP
Shih Tzu	NN
Shih Tzus	NNS
shih tzu	NN
shih tzus	NNS
La Caixa	NNP
Hannah Montana	NNP
Gordon Gekko	NNP
Emmett Shear	NNP
Mira Murati	NNP
Lou Ferrigno	NNP
Jonathan Clauss	NNP
Artista Networks	NNP
döner kebab	NN
döner kebabs	NNS
doner kebab	NN
doner kebabs	NNS
Greg Brockman	NNP
Hormel Foods	NNP
Public Enemy	NNP
Flavor Flav	NNP
Dutch Bros Coffee	NNP
Kinder Bueno	NNP
Cardo Systems	NNP
Sheikh Jarrah	NNP
Parerga and Paralipomena	NNP
Josquin des Prez	NNP
Karlie Kloss	NNP
Kevin Scott	NNP
Jean Paul Prates	NNP
Microsoft Visio	NNP
boba tea	NN:UN
boba teas	NNS
Battle of the Hydaspes	NNP
Bethune-Cookman University	NNP
Cynthia Rylant	NNP
Jacob Riis	NNP
Shemia Fagan	NNP
Helen Juntunen	NNP
Orcinus orca	_multiword_
Hogan Lovells	NNP
Bits & Pretzels	NNP
Baix Camp	NNP
Philips Sonicare	NNP
Alejandro Grimaldo	NNP
Jean-Michel Basquiat	NNP
Julius Baer	NNP
Terry Venables	NNP
Glenn Hoddle	NNP
Ana Ivanović	NNP
Layda Sansores	NNP
Aimé Césaire	NNP
Rigoberta Menchu	NNP
Rigoberta Menchú	NNP
İbrahim Eren	NNP
Lensey Namioka	NNP
Foie gras	NNP
ad valorem	JJ
Jedem das Seine	UH
Zwarte Piet	NNP
Schlieffen Plan	NNP
ag industry	NN:U
Angkor Thom	NNP
Angkor Wat	NNP
anno domini	FW
anno mundi	FW
Bon Jovi	NNP
Buckminster Fuller	NNP
cantus firmus	NN
the Carolinas	NNPS
Commedia dell'Arte	NNP
County Meath	NNP
Das Kapital	NNP
de la Renta	NNP
de las Casas	NNP
de rigeur	FW
duffel bag	NN
en banc	FW
Faroe Islands	NNPS
gallic acid	NN
Ge'ez	NNP
Hail Marys	NNS
Hercule Poirot	NNP
Herodes Atticus	NNP
in utero	FW
Kievan Rus	NNP
Le Corbusier	NNP
Los Cabos	NNP
Margaret Cho	NNP
Michelle Yeoh	NNP
Mount Athos	NNP
number cruncher	NN
number crunchers	NNS
Pend Oreille	NNP
pontifex maximus	NN
Pope Sixtus	NNP
Puerto Rican-American	JJ
Puerto Rican-American	NNP
Punta Cana	NNP
Rogers Centre	NNP
S.p.A.	FW
Shi'ites	NNPS
shish kebab	NN
shish kebabs	NNS
St Pancras	NNP
St. Germain des Pres	NNP
St. Germain des Près	NNP
St. Pancras	NNP
Subcarpathian Rus	NNP
Tarquinius Superbus	NNP
White Sox	NNP
Ybor City	NNP
Milton Wexler	NNP
Marjorie Guthrie	NNP
Maryam Moshiri	NNP
Lucy Hockings	NNP
Woody Guthrie	NNP
W. P. Carey	NNP
Janeane Garofalo	NNP
CeeLo Green	NNP
Spratly Islands	NNPS
Meyer Burger	NNP
Al Nahyan	NNP
Cherie Dimaline	NNP
Hock E. Tan	NNP
Hock Tan	NNP
Charlotte Dujardin	NNP
Isabell Werth	NNP
Friedrich Vorwerk	NNP
Tesla Optimus	NNP
Osama bin Laden	NNP
D'Youville	NNP
ETC/RMT	_multiword_
I/ITSEC	_multiword_
Al Khobar	NNP
Andrei Rublev	NNP
Anna Karenina	NNP
Canis Majoris	NNP
Canis Minoris	NNP
Charles Munger	NNP
Eduard Norden	NNP
El Centro	NNP
El Cerrito	NNP
El Sordo	NNP
Eva Brunne	NNP
Felis domestica	NNP
Frank Wisner	NNP
George Sarton	NNP
George Stults	NNP
Georgy Rerberg	NNP
Gianna Rolandi	NNP
Ingrid Berghmans	NNP
Jacques Demers	NNP
James Basker	NNP
Jane Bolin	NNP
Jane Leeves	NNP
Jean Casto	NNP
Jean Cayrol	NNP
Jimmie Foxx	NNP
John Bester	NNP
John Boye	NNP
John Ryden	NNP
John Varley	NNP
Joseph Kalt	NNP
Joseph Lannin	NNP
Aa River	NNP
BG Group	NNP
Blu-ray Discs	NNPS
Île Royale	NNP
La Espero	NNP
La Franja	NNP
La Haie	NNP
Les Atomes	NNP
Les Délices	NNP
Los Banos	NNP
Mark Opitz	NNP
Mark Waid	NNP
María Casares	NNP
Michael Huemer	NNP
Michael Mantler	NNP
Michael Stifel	NNP
Mohammed Salameh	NNP
Mötley Crüe	NNP
NS Group	NNP
Parerga und Paralipomena	NNP
Peter Sauber	NNP
Philip Senter	NNP
Piter De Vries	NNP
Qantas Airways	NNP
Richard Brooker	NNP
Robert Burks	NNP
Robert de Sorbon	NNP
Roberto Alomar	NNP
Roberto Longhi	NNP
Rudy Vallée	NNP
San Nicolaas	NNP
San Vicente	NNP
San Vincenzo	NNP
Serie D	NNP
Sierra Leonean	NNP
SS Columbus	NNP
Stevan Jovetić	NNP
São Toméan	NNP
Tom DeLay	NNP
Wayne Rainey	NNP
William Burges	NNP
bao bun	NN
bao buns	NNS
House of Welser	NNP
William Corlett	NNP
Nissin Foods	NNP
Van Baerlestraat	NNP
Super Bowl XLI	NNP
Super Bowl XLII	NNP
Super Bowl XLIII	NNP
Super Bowl XLVI	NNP
Super Bowl XLVII	NNP
Super Bowl XLVIII	NNP
Super Bowl XLIX	NNP
Super Bowl LVIII	NNP
rigor mortis	NN:U
Digvijay Singh	NNP
E pluribus unum	_multiword_
Adam Michna	NNP
André Wilms	NNP
Camille Coduri	NNP
John Dehner	NNP
John Poulson	NNP
